COUNTRY,Continent,Region,active_students,male,female,associate,bachelors,doctorate,flight_school,high_school,language_training,masters,other,other_vocational_school,primary,secondary,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
AFGHANISTAN,Asia,Southern Asia,518,264,254,20,193,76,0,0,18,123,10,0,4,74,0,1,1,5,33,5,21,21,0,8,5,0,0,10,1,11,15,10,9,3,54,2,9,4,7,9,0,1,1,17,0,2,12,10,1,3,81,8,8,2,23,0,12,7,0,5,24,6,26,0,11,3,8,2,1
ALBANIA,Europe,Southern Europe,1453,651,802,305,626,99,0,0,130,236,37,0,2,18,0,3,4,16,50,3,49,9,11,110,12,0,0,5,27,66,9,9,5,2,171,9,4,121,25,22,0,0,3,12,0,0,3,94,2,4,367,40,6,1,53,0,4,3,0,10,42,10,25,0,1,15,15,1,0
ALGERIA,Africa,Northern Africa,504,333,171,63,97,90,2,0,155,73,22,0,0,2,0,1,2,6,75,2,4,6,3,10,8,0,0,8,1,14,5,8,1,1,41,4,1,6,4,9,0,0,0,4,22,1,5,13,0,0,132,8,4,1,16,0,2,1,1,4,39,2,17,0,0,0,3,0,9
ANDORRA,Europe,Southern Europe,24,19,5,1,9,0,0,0,2,4,2,0,0,6,0,0,0,0,3,1,0,0,0,3,1,0,0,1,0,2,1,0,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
ANGOLA,Africa,Central Africa,717,408,309,108,309,24,5,0,133,111,14,1,1,11,0,2,1,20,24,6,1,6,1,66,13,0,0,3,4,10,9,3,3,13,23,4,2,4,8,5,0,0,1,7,1,0,1,3,1,1,27,5,32,2,20,0,0,1,0,2,355,7,9,0,0,7,3,1,0
ANGUILLA,North America,Caribbean,6,3,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
ANTIGUA AND BARBUDA,North America,Caribbean,239,114,125,39,136,11,0,0,0,38,5,0,0,10,0,2,2,2,8,0,0,2,1,40,7,0,0,7,2,4,2,0,2,0,10,3,1,1,1,3,0,1,0,3,0,0,0,7,1,0,68,4,2,0,4,0,1,0,0,6,21,0,2,0,1,1,0,16,0
ARGENTINA,South America,South America,4139,2214,1924,362,1615,399,9,0,671,810,166,33,11,63,0,28,17,18,372,22,35,56,5,1018,107,0,7,30,13,145,47,50,59,22,227,34,4,64,32,68,0,23,7,149,4,9,4,50,17,8,596,41,31,19,129,0,15,34,6,51,125,150,64,0,8,31,22,59,1
ARMENIA,Asia,Western Asia,637,306,331,47,187,76,0,0,99,189,19,0,0,20,0,0,0,13,307,4,7,4,1,18,6,0,0,4,5,26,3,0,4,1,43,6,2,7,26,6,0,0,0,9,0,1,0,7,1,2,53,4,5,3,12,0,3,2,0,0,11,4,10,0,2,3,10,1,1
ARUBA,North America,Caribbean,65,42,23,19,30,2,1,0,0,6,0,0,0,7,0,2,0,0,5,0,0,0,0,16,3,0,0,0,1,1,0,1,0,2,1,0,0,0,1,3,0,0,0,2,0,0,0,0,1,0,7,0,2,0,1,0,0,6,0,8,2,0,0,0,0,0,0,0,0
